file,mode,score_orig,score_del,score_rep,delta_del,delta_rep
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.9399999999999995,2.9399999999999995,0.0
cc2_remove_meander,MCE,6.9399999999999995,2.94,6.9399999999999995,3.9999999999999996,0.0
cc2_remove_meander,MSE,6.9399999999999995,2.94,8.0,3.9999999999999996,-1.0600000000000005
cc2_remove_meander,MCE,9.707104479999998,5.70710448,9.707104479999998,3.9999999999999982,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.823575999999999,2.9399999999999995,0.1164240000000003
cc2_remove_meander,MCE,13.605175999999998,9.763575999999999,13.605175999999998,3.8415999999999997,0.0
cc2_remove_meander,MSE,6.9399999999999995,2.94,5.763576,3.9999999999999996,1.176424
cc2_remove_meander,MCE,9.763575999999999,6.823575999999999,9.763575999999999,2.9399999999999995,0.0
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.9399999999999995,2.9399999999999995,0.0
cc2_remove_meander,MCE,12.812667827290346,9.872667827290346,13.54437659974016,2.9399999999999995,-0.7317087724498137
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,7.68947264,2.9399999999999995,-0.7494726400000005
cc2_remove_meander,MCE,13.453048639999999,9.453048639999999,12.393048639999998,4.0,1.0600000000000005
cc2_remove_meander,MSE,6.9399999999999995,2.94,5.763576,3.9999999999999996,1.176424
cc2_remove_meander,MCE,9.763575999999999,5.763576,9.763575999999999,3.999999999999999,0.0
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.823575999999999,2.9399999999999995,0.1164240000000003
cc2_remove_meander,MCE,9.763575999999999,5.763576,8.703576,3.999999999999999,1.0599999999999987
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,7.47250213298688,4.0,7.47250213298688,3.4725021329868797,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.9399999999999995,2.9399999999999995,0.0
cc2_remove_meander,MCE,9.763575999999999,6.9399999999999995,9.763575999999999,2.823575999999999,0.0
cc2_remove_meander,MSE,6.9399999999999995,2.94,7.543369523456,3.9999999999999996,-0.6033695234560001
cc2_remove_meander,MCE,13.306945523456,10.483369523456,13.423369523456,2.823575999999999,-0.1164240000000003
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.781599999999999,2.9399999999999995,0.15840000000000032
cc2_remove_meander,MCE,13.605175999999998,10.7816,14.7816,2.823575999999999,-1.1764240000000008
cc2_remove_meander,MSE,6.9399999999999995,2.94,6.823575999999999,3.9999999999999996,0.1164240000000003
cc2_remove_meander,MCE,13.306945523456,10.366945523456,12.703575999999998,2.9399999999999995,0.603369523456001
cc2_remove_meander,MSE,4.0,0.0,3.2682912275501868,4.0,0.7317087724498132
cc2_remove_meander,MCE,7.268291227550186,3.2682912275501868,8.0,3.9999999999999996,-0.7317087724498137
cc2_remove_meander,MSE,6.9399999999999995,2.94,5.763576,3.9999999999999996,1.176424
cc2_remove_meander,MCE,13.453048639999999,9.763575999999999,12.393048639999998,3.68947264,1.0600000000000005
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,7.764768,4.0,8.0,3.764768,-0.23523199999999989
cc2_remove_meander,MSE,6.9399999999999995,2.94,8.0,3.9999999999999996,-1.0600000000000005
cc2_remove_meander,MCE,9.763575999999999,6.9399999999999995,10.823576,2.823575999999999,-1.0600000000000005
cc2_remove_meander,MSE,4.0,0.0,4.0,4.0,0.0
cc2_remove_meander,MCE,7.68947264,4.0,7.68947264,3.68947264,0.0
cc2_remove_meander,MSE,6.9399999999999995,2.94,7.68947264,3.9999999999999996,-0.7494726400000005
cc2_remove_meander,MCE,13.453048639999999,9.763575999999999,14.51304864,3.68947264,-1.0600000000000005
cc2_remove_meander,MSE,4.0,0.0,3.6894726399999995,4.0,0.3105273600000005
cc2_remove_meander,MCE,7.68947264,4.0,8.0,3.68947264,-0.31052736000000003
cc2_remove_meander,MSE,6.9399999999999995,2.94,5.70710448,3.9999999999999996,1.2328955199999996
cc2_remove_meander,MCE,9.707104479999998,5.70710448,9.707104479999998,3.9999999999999982,0.0
cc2_remove_meander,MSE,6.9399999999999995,4.0,6.9399999999999995,2.9399999999999995,0.0
cc2_remove_meander,MCE,13.23607813298688,9.23607813298688,13.23607813298688,4.0,0.0
cc2_remove_meander,MSE,4.0,0.0,3.4725021329868797,4.0,0.5274978670131203
cc2_remove_meander,MCE,7.47250213298688,4.0,8.0,3.4725021329868797,-0.5274978670131203
cc2_restore_meander,MSE,6.9399999999999995,4.0,6.9399999999999995,2.9399999999999995,0.0
cc2_restore_meander,MCE,6.9399999999999995,4.0,8.0,2.9399999999999995,-1.0600000000000005
cc2_restore_meander,MSE,6.9399999999999995,2.94,6.9399999999999995,3.9999999999999996,0.0
cc2_restore_meander,MCE,9.707104479999998,6.7671044799999995,9.707104479999998,2.9399999999999986,0.0
cc2_restore_meander,MSE,6.9399999999999995,2.94,6.9399999999999995,3.9999999999999996,0.0
cc2_restore_meander,MCE,13.605175999999998,9.763575999999999,13.605175999999998,3.8415999999999997,0.0
