mode,k,strategy,delta
MSE,1,random,3.7879999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.4699999999999998
MCE,2,random,6.9399999999999995
MCE,1,greedy,3.9999999999999996
MCE,2,greedy,6.9399999999999995
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2948417919999984
MCE,2,random,6.518262687999998
MCE,3,random,9.707104479999998
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,6.939999999999999
MCE,3,greedy,9.707104479999998
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.183947999999999
MCE,2,random,6.2893783999999995
MCE,3,random,9.954855999999998
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.294145599999999
MCE,2,random,6.316860799999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,2.870675668135136
MCE,2,random,6.372771573619188
MCE,3,random,9.550088064639262
MCE,4,random,12.812667827290346
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,7.268291227550186
MCE,3,greedy,10.208291227550186
MCE,4,greedy,12.812667827290346
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.3846097279999996
MCE,2,random,6.447344992
MCE,3,random,10.130544383999998
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.211430399999999
MCE,2,random,6.293575999999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.4467151999999985
MCE,2,random,6.104860799999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.73625106649344
MCE,2,random,7.47250213298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1054303999999995
MCE,2,random,6.116503199999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2493891046911996
MCE,2,random,6.7974314664192
MCE,3,random,10.008861866419199
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.5168375999999997
MCE,2,random,6.7867479999999984
MCE,3,random,10.002375999999998
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,3.257999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2261043046911992
MCE,2,random,6.877115161728
MCE,3,random,9.876545561728
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.560974736530112
MCE,2,random,7.2682912275501845
MCE,1,greedy,3.9999999999999996
MCE,2,greedy,7.268291227550186
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.372967328
MCE,2,random,6.718756384
MCE,3,random,9.974081312
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.9059072
MCE,2,random,7.764768000000001
MCE,1,greedy,4.0
MCE,2,greedy,7.764768
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1054303999999986
MCE,2,random,6.658145599999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.875789056
MCE,2,random,7.689472640000001
MCE,1,greedy,4.0
MCE,2,greedy,7.68947264
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2591993919999993
MCE,2,random,6.51452432
MCE,3,random,10.012901983999999
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.9068417920000003
MCE,2,random,7.689472640000001
MCE,1,greedy,4.0
MCE,2,greedy,7.68947264
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.435420895999999
MCE,2,random,6.412262687999998
MCE,3,random,9.707104479999998
MCE,1,greedy,3.9999999999999982
