mode,k,strategy,delta
MCE,2,greedy,6.939999999999999
MCE,3,greedy,9.707104479999998
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1586806132986878
MCE,2,random,6.830039066493439
MCE,3,random,10.312682319688191
MCE,4,random,13.23607813298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MCE,3,greedy,10.41250213298688
MCE,4,greedy,13.23607813298688
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.6307514930908162
MCE,2,random,7.47250213298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.0459999999999994
MCE,2,random,6.9399999999999995
MCE,1,greedy,3.9999999999999996
MCE,2,greedy,6.9399999999999995
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2061313439999983
MCE,2,random,6.589683583999998
MCE,3,random,9.707104479999998
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,6.939999999999999
MCE,3,greedy,9.707104479999998
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.399195199999999
MCE,2,random,6.461303199999999
MCE,3,random,9.896375999999998
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1054303999999995
MCE,2,random,6.681430399999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.6850315046912003
MCE,2,random,6.455240114073599
MCE,3,random,10.0808412187648
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2230727999999997
MCE,2,random,6.7934934093824
MCE,3,random,10.1032194664192
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,3.0459999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.6386776
MCE,2,random,7.143872799999999
MCE,3,random,10.2919432
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.5527151999999993
MCE,2,random,6.563788
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1287151999999994
MCE,2,random,6.919113983999999
MCE,3,random,10.272670975999997
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.4180158455100362
MCE,2,random,6.487234259285129
MCE,3,random,9.905250104795167
MCE,4,random,13.031867227550185
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,7.268291227550185
MCE,3,greedy,10.208291227550186
MCE,4,greedy,13.031867227550185
MSE,1,random,3.575999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2747352639999994
MCE,2,random,6.670987391999999
MCE,3,random,9.970206847999998
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1499884270981418
MCE,2,random,6.5600292451635696
MCE,3,random,9.852692054196284
MCE,4,random,13.16662809032714
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327141
MCE,3,greedy,10.343052090327141
MCE,4,greedy,13.16662809032714
MSE,1,random,3.257999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.5186945523455995
MCE,2,random,6.3207988570368
MCE,3,random,9.698566209382403
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.172609728
MCE,2,random,6.59723952
MCE,3,random,10.272670975999999
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.4156624639999995
MCE,2,random,6.545577055999999
MCE,3,random,10.174438911999996
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.6198945280000006
MCE,2,random,6.456864521280001
MCE,3,random,9.85016426336
MCE,4,random,13.3412350304
MCE,1,greedy,4.0
MCE,2,greedy,7.68947264
MCE,3,greedy,10.62947264
MCE,4,greedy,13.3412350304
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.3255784361308565
MCE,2,random,6.240282063228999
MCE,3,random,10.120892481294428
MCE,4,random,13.16662809032714
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327141
MCE,3,greedy,10.343052090327141
MCE,4,greedy,13.16662809032714
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.91388668949392
MCE,2,random,7.1388668949392
MCE,1,greedy,4.0
MCE,2,greedy,7.138866894939199
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1687352639999995
MCE,2,random,6.7265243199999984
MCE,3,random,10.080081311999999
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,3.257999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1403575999999993
MCE,2,random,6.5521456
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.6111952
MCE,2,random,6.684945599999999
MCE,3,random,10.0957832
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,3.258
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.39213097898784
MCE,2,random,6.529090468481759
MCE,3,random,9.70242522645744
MCE,4,random,12.902442894939199
MCE,1,greedy,4.0
MCE,2,greedy,7.138866894939199
MCE,3,greedy,10.0788668949392
MCE,4,greedy,12.902442894939199
MSE,1,random,3.1519999999999997
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.4449680180654285
MCE,2,random,6.604851663228999
MCE,3,random,9.935671645163572
MCE,4,random,13.16662809032714
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327141
MCE,3,greedy,10.343052090327141
MCE,4,greedy,13.16662809032714
MSE,1,random,3.7879999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1498003481871035
MCE,2,random,6.2735509880831675
MCE,3,random,9.483696601858261
MCE,4,random,12.812667827290346
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,7.268291227550186
MCE,3,greedy,10.208291227550186
MCE,4,greedy,12.812667827290346
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.96832
MCE,2,random,7.8416
MCE,1,greedy,4.0
MCE,2,greedy,7.8416
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2230727999999997
MCE,2,random,6.658145599999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.0915959376366344
MCE,2,random,6.5062262727955895
MCE,3,random,9.465529670132309
MCE,4,random,12.800452545591181
MCE,1,greedy,3.9999999999999982
MCE,2,greedy,7.202925402999181
MCE,3,greedy,10.142925402999182
MCE,4,greedy,12.800452545591181
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2930009527787
MCE,2,random,6.263019923777721
MCE,3,random,9.65201455289008
MCE,4,random,12.932518191112598
MCE,1,greedy,4.0
MCE,2,greedy,7.3349910485206
MCE,3,greedy,10.2749910485206
MCE,4,greedy,12.9325181911126
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.73399641940824
MCE,2,random,7.334991048520601
MCE,1,greedy,4.0
MCE,2,greedy,7.3349910485206
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.683501279792128
MCE,2,random,7.47250213298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MSE,1,random,3.575999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1403575999999993
MCE,2,random,6.411218399999998
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.235716053194752
MCE,2,random,6.352788853194751
MCE,3,random,9.84111186649344
MCE,4,random,13.23607813298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MCE,3,greedy,10.41250213298688
MCE,4,greedy,13.23607813298688
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.428504256
MCE,2,random,6.435702591999998
MCE,3,random,10.056796512
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.4627468812944278
MCE,2,random,7.403052090327141
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327142
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.9208
MCE,2,random,7.8416
MCE,1,greedy,4.0
MCE,2,greedy,7.8416
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.0481249523455993
MCE,2,random,6.418187961728
MCE,3,random,9.868841218764798
MCE,4,random,13.306945523456
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MCE,3,greedy,10.483369523456
MCE,4,greedy,13.306945523456
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1755527999999993
MCE,2,random,6.700785599999999
MCE,3,random,10.217623199999998
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.211430399999999
MCE,2,random,6.669788
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.575999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.3917503999999994
MCE,2,random,6.8300703999999985
MCE,3,random,10.319425599999999
MCE,4,random,13.605175999999997
MCE,1,greedy,4.0
MCE,2,greedy,7.841599999999999
MCE,3,greedy,10.7816
MCE,4,greedy,13.605175999999998
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.8173478093824
MCE,2,random,7.543369523455999
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.105430399999999
MCE,2,random,6.328503199999998
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.6819999999999995
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.431578436130857
MCE,2,random,6.84188364516357
MCE,3,random,9.980229672261714
MCE,4,random,13.16662809032714
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327141
MCE,3,greedy,10.343052090327141
MCE,4,greedy,13.16662809032714
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.582136463229
MCE,2,random,7.403052090327141
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327142
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.90496
MCE,2,random,7.8416
MCE,1,greedy,4.0
MCE,2,greedy,7.8416
MSE,1,random,3.3639999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.396915627098143
MCE,2,random,6.747261654196285
MCE,3,random,9.972081636130856
MCE,4,random,13.16662809032714
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327141
MCE,3,greedy,10.343052090327141
MCE,4,greedy,13.16662809032714
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.5477527142591994
MCE,2,random,6.3960217140735995
MCE,3,random,9.597527142592
MCE,1,greedy,4.0
MCE,2,greedy,6.94
MCE,3,greedy,9.597527142592
MSE,1,random,3.257999999999999
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.1997879999999994
MCE,2,random,6.6348608
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,3.5759999999999996
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.3962521279999995
MCE,2,random,6.867451519999999
MCE,3,random,10.045154111999999
MCE,4,random,13.453048639999997
MCE,1,greedy,4.0
MCE,2,greedy,7.689472639999999
MCE,3,greedy,10.62947264
MCE,4,greedy,13.453048639999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,4.0
MCE,1,greedy,4.0
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.6346956187647996
MCE,2,random,7.543369523455999
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.841750639896064
MCE,2,random,7.47250213298688
MCE,1,greedy,4.0
MCE,2,greedy,7.47250213298688
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.5890325711104
MCE,2,random,7.543369523455999
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MSE,1,random,3.0459999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.446715199999999
MCE,2,random,6.658145599999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.7826308479999993
MCE,2,random,7.689472640000001
MCE,1,greedy,4.0
MCE,2,greedy,7.68947264
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.5821364632289994
MCE,2,random,7.403052090327141
MCE,1,greedy,4.0
MCE,2,greedy,7.403052090327142
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2347151999999992
MCE,2,random,6.3401456
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.7716847617280003
MCE,2,random,7.543369523455999
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MSE,1,random,4.0
MSE,1,greedy,4.0
MCE,1,random,3.7716847617280003
MCE,2,random,7.543369523455999
MCE,1,greedy,4.0
MCE,2,greedy,7.543369523456
MSE,1,random,3.7879999999999994
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.3290727999999996
MCE,2,random,6.658145599999999
MCE,3,random,9.763575999999999
MCE,1,greedy,3.999999999999999
MCE,2,greedy,6.9399999999999995
MCE,3,greedy,9.763575999999999
MSE,1,random,3.4699999999999998
MSE,2,random,6.9399999999999995
MSE,1,greedy,3.9999999999999996
MSE,2,greedy,6.9399999999999995
MCE,1,random,3.2367468910200743
MCE,2,random,6.801104491020072
MCE,3,random,9.552322904795165
MCE,4,random,13.031867227550185
